,loss
0,622047.3882827759
1,55819.483627319336
2,40677.55374908447
3,36447.52152252197
4,32667.813877105713
5,31109.63751220703
6,30320.335216522217
7,30433.268394470215
8,29304.94620513916
9,29080.41864013672
10,29941.9674243927
11,28763.163692474365
12,28035.368028640747
13,27965.45549583435
14,27812.230241775513
15,27858.64269542694
16,27824.27230834961
17,27731.14573764801
18,27699.60121679306
19,27697.861018419266
20,27698.02107143402
21,27599.21605348587
22,27616.505319833755
23,27581.624104976654
24,27618.472541093826
25,27498.5300822258
26,27536.48982524872
27,27563.135138213634
28,27533.083576083183
29,27482.82003247738
30,27525.33131170273
31,27564.98716133833
32,27466.36024609208
33,27443.24448096752
34,27522.20851391554
35,27489.27916947007
36,27412.960369065404
37,27459.329501241446
38,27448.46127434075
39,27433.67617753148
40,27482.542847156525
41,27405.818329669535
42,27396.679694265127
43,27379.32351563126
44,27455.147492073476
45,27372.272075504065
46,27406.737547457218
47,27414.06912562996
48,27339.858136855066
49,27322.791325122118
50,27320.461621094495
51,27323.534604534507
52,27338.46844843775
53,27354.89711162448
54,27364.42402421683
55,27372.90923267603
56,27267.699771501124
57,27361.816406451166
58,27358.662392392755
59,27298.68877721578
60,27302.176172047853
61,27287.996399007738
62,27196.020085327327
63,27281.743870992213
64,27241.415732488036
65,27278.271976891905
66,27156.133097941056
67,27214.3897510916
68,27286.681523498148
69,27314.683339195326
70,27158.976703472435
71,27257.276971358806
72,27245.881422886625
73,27221.803023197688
74,27176.394730536267
75,27212.319372137077
76,27155.35551172681
77,27221.696350610815
78,27172.178944686428
79,27130.94306991063
80,27149.230930289254
81,26945.24491335824
82,27088.529800124466
83,27100.653116663918
84,27118.932711837813
85,27003.928786775097
86,26985.47177856881
87,27044.588174905628
88,27038.550701225176
89,27007.620903969742
90,26919.63144353591
91,27045.953789319843
92,26967.452084880322
93,26962.897533144802
94,26934.847828390077
95,26831.86853238847
96,26907.29957985878
97,26923.99118336849
98,26904.31701400131
99,26796.158566234633
