,loss
0,805954.5969085693
1,78527.92735290527
2,47162.279499053955
3,37776.680698394775
4,33880.35557937622
5,31799.731784820557
6,30543.382068634033
7,29029.016344070435
8,27082.542392730713
9,24363.445724487305
10,22344.790398597717
11,21284.62978553772
12,20522.14976835251
13,19299.26074028015
14,18482.036999702454
15,18157.670617341995
16,17957.701657772064
17,17838.125433921814
18,17596.98369884491
19,17742.86439681053
20,17613.835110902786
21,17507.678950309753
22,17475.4556119442
23,17400.401277780533
24,17384.53786277771
25,17292.686735272408
26,17090.323337197304
27,17022.721970438957
28,16969.885560929775
29,16898.70534145832
30,16807.1325224638
31,16747.389448583126
32,16748.349723637104
33,16682.556647658348
34,16667.82021585107
35,16585.267920851707
36,16637.112590312958
37,16548.643529891968
38,16498.36096817255
39,16437.420660972595
40,16280.969998896122
41,16470.313776105642
42,16446.23565068841
43,16485.561203360558
44,16403.44913432002
45,16263.31308889389
46,16121.294664114714
47,16401.580833137035
48,16231.920542687178
49,16195.554943323135
50,16135.33019721508
51,16278.513974368572
52,15930.394430190325
53,16082.005227774382
54,16128.19368353486
55,16119.808689177036
56,16080.111064463854
57,16037.318645298481
58,15993.55438515544
59,15989.787470504642
60,15885.691487461329
61,15945.56338454783
62,15939.741197049618
63,15999.997637152672
64,15928.552112296224
65,15911.299710661173
66,15861.228658989072
67,15823.914990216494
68,15722.376365192235
69,15740.740388602018
70,15791.403824344277
71,15723.040991291404
72,15675.071045711637
73,15770.900371015072
74,15577.74600417912
75,15515.669013172388
76,15590.732635483146
77,15525.859092704952
78,15439.108269765973
79,15527.49792418629
80,15472.052550129592
81,15354.312963470817
82,15430.533914037049
83,15407.94644524157
84,15273.47096618265
85,15358.565124213696
86,15312.181914649904
87,15287.058460466564
88,15143.91451280564
89,15197.99138591066
90,15287.980546176434
91,15153.289885532111
92,15058.885308638215
93,15070.66437106207
94,15190.168350387365
95,14932.14336868748
96,15016.360274467617
97,15116.214893188328
98,14966.636084306985
99,14915.489014726132
