,loss
0,781659.7139892578
1,75636.11932373047
2,48035.24173736572
3,39395.5797996521
4,35364.33582687378
5,33558.67189025879
6,31780.059970855713
7,30549.829051971436
8,29766.777759552002
9,29194.598861694336
10,30083.970275878906
11,28513.067504882812
12,28269.554023742676
13,28188.35323905945
14,28007.537326812744
15,27933.30379676819
16,27896.965295791626
17,27788.37756538391
18,27787.706323623657
19,27768.08850479126
20,27707.735054016113
21,27670.837614536285
22,27698.666212558746
23,27616.200535297394
24,27714.546941041946
25,27537.033848047256
26,27591.196080207825
27,27497.206177949905
28,27487.666313052177
29,27574.382397830486
30,27423.08491975069
31,27572.69850051403
32,27471.25915759802
33,27469.454240202904
34,27467.96763509512
35,27456.45028913021
36,27460.806220948696
37,27449.463526129723
38,27430.69266706705
39,27435.54019343853
40,27489.084266096354
41,27488.98811084032
42,27435.92557361722
43,27436.04118308425
44,27425.142235934734
45,27333.356269806623
46,27376.0337343812
47,27419.89113895595
48,27464.74553771317
49,27317.475860387087
50,27381.923231318593
51,27357.921934440732
52,27327.442281767726
53,27398.43991136551
54,27370.276267267764
55,27330.449217282236
56,27306.810397975147
57,27373.40189321339
58,27285.538193322718
59,27374.97122137621
60,27346.04588121921
61,27324.192702073604
62,27320.35674360767
63,27341.75251595676
64,27322.70433790423
65,27286.79458547756
66,27310.131729919463
67,27287.763763919473
68,27321.010022407398
69,27175.229644637555
70,27311.225323051214
71,27238.846406612545
72,27233.54313636571
73,27281.260614391416
74,27236.641975101084
75,27224.877093631774
76,27272.58936213702
77,27267.23492063582
78,27220.86457312852
79,27121.768226645887
80,27229.515084888786
81,27181.83165586181
82,27171.177757868543
83,27207.870784310624
84,27168.74961561337
85,27267.56074928865
86,27219.45876378566
87,27163.324074862525
88,27162.57579540834
89,27119.595147948712
90,27188.413051337004
91,27119.53041801974
92,27142.424951933324
93,27154.929911706597
94,27059.824848370627
95,27114.4892571941
96,27109.227761499584
97,27107.891483301297
98,27081.435892041773
99,27053.045384082943
